W0329 16:34:40.978000 140508108342464 torch/distributed/run.py:779] 
W0329 16:34:40.978000 140508108342464 torch/distributed/run.py:779] *****************************************
W0329 16:34:40.978000 140508108342464 torch/distributed/run.py:779] Setting OMP_NUM_THREADS environment variable for each process to be 1 in default, to avoid your system being overloaded, please further tune the variable for optimal performance in your application as needed. 
W0329 16:34:40.978000 140508108342464 torch/distributed/run.py:779] *****************************************
swanlab: Tracking run with swanlab version 0.7.13
swanlab: Run data will be saved locally in /home/yjp/em_bench/learn/minimind/trainer/swanlog/run-20260329_163448-48vtjgldxt7fiiudntyr6
swanlab: 👋 Hi lanze,welcome to swanlab!
swanlab: Syncing run MiniMind-GRPO-Epoch-1-BS-2-LR-8e-08 to the cloud
swanlab: 🏠 View project at https://swanlab.cn/@lanze/MiniMind-GRPO
swanlab: 🚀 View run at https://swanlab.cn/@lanze/MiniMind-GRPO/runs/48vtjgldxt7fiiudntyr6
`torch_dtype` is deprecated! Use `dtype` instead!
Model Params: 104.03M
Trainable Params: 104.031M
Loading checkpoint shards:   0%|          | 0/2 [00:00<?, ?it/s]Loading checkpoint shards: 100%|██████████| 2/2 [00:00<00:00, 67.27it/s]
torch.compile enabled
Model Params: 104.03M
Trainable Params: 104.031M
`torch_dtype` is deprecated! Use `dtype` instead!
Loading checkpoint shards:   0%|          | 0/2 [00:00<?, ?it/s]Loading checkpoint shards: 100%|██████████| 2/2 [00:00<00:00, 75.59it/s]
past_key_values should not be None in from_legacy_cache()
past_key_values should not be None in from_legacy_cache()
Epoch:[1/1](58/2500), Actor Loss: 0.0002, Aux Loss: 0.0000, Reward: 0.1151, Avg Response Len: 363.00, Learning Rate: 0.00000008
Epoch:[1/1](59/2500), Actor Loss: 0.0002, Aux Loss: 0.0000, Reward: -1.3651, Avg Response Len: 329.31, Learning Rate: 0.00000008
Epoch:[1/1](60/2500), Actor Loss: 0.0001, Aux Loss: 0.0000, Reward: -1.3648, Avg Response Len: 395.44, Learning Rate: 0.00000008
Epoch:[1/1](61/2500), Actor Loss: 0.0001, Aux Loss: 0.0000, Reward: -1.7738, Avg Response Len: 427.56, Learning Rate: 0.00000008
Epoch:[1/1](62/2500), Actor Loss: 0.0003, Aux Loss: 0.0000, Reward: -0.6973, Avg Response Len: 324.56, Learning Rate: 0.00000008
Epoch:[1/1](63/2500), Actor Loss: 0.0005, Aux Loss: 0.0000, Reward: -0.8271, Avg Response Len: 336.38, Learning Rate: 0.00000008
Epoch:[1/1](64/2500), Actor Loss: 0.0006, Aux Loss: 0.0000, Reward: -0.9880, Avg Response Len: 228.25, Learning Rate: 0.00000008
Epoch:[1/1](65/2500), Actor Loss: 0.0003, Aux Loss: 0.0000, Reward: 0.6334, Avg Response Len: 249.12, Learning Rate: 0.00000008
Epoch:[1/1](66/2500), Actor Loss: 0.0013, Aux Loss: 0.0000, Reward: 0.4818, Avg Response Len: 181.00, Learning Rate: 0.00000008
Epoch:[1/1](67/2500), Actor Loss: 0.0002, Aux Loss: 0.0000, Reward: 0.0963, Avg Response Len: 226.31, Learning Rate: 0.00000008
Epoch:[1/1](68/2500), Actor Loss: 0.0005, Aux Loss: 0.0000, Reward: -0.9608, Avg Response Len: 59.56, Learning Rate: 0.00000008
Epoch:[1/1](69/2500), Actor Loss: 0.0001, Aux Loss: 0.0000, Reward: -0.5806, Avg Response Len: 121.50, Learning Rate: 0.00000008
